"BehaviorSpace results (NetLogo 6.3.0)"
"Env_Aw_English.nlogo"
"experiment-High"
"11/13/2023 20:12:00:741 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","sociability_range_type","recyc_perc_g3","sociability_max","humanos_grupo1","humanos_grupo2","learning_rate","humanos_grupo3","show_eco_level?","desplazamiento_max","selected_campaign","desv_est_res","media_res","media_campaign_strength","recyc_perc_g1","change_sociability_behavior?","recyc_perc_g2","campaign_size","media_campaign_frequency","[step]","eco_level_pop"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","84","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","85","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","86","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","87","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","88","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","89","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","90","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","91","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","92","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","93","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","94","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","95","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","96","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","97","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","98","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","99","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","100","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","101","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","102","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","103","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","104","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","105","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","106","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","107","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","108","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","109","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","110","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","111","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","112","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","113","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","114","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","115","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","116","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","117","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","118","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","119","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","120","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","121","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","122","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","123","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","124","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","125","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","126","0"
"1","Von Neumann","50","4","75","20","3","5","true","4","High","0.3","0.95","0.05","20","false","30","15","31","127","0"
